SIGMA,TrRi,RiTr,Plu,Ttra,Ttrb,Tr,MeTr,MoTr,RiRi,MoFo,Mmof,MoRi,MeRi,Ri,Comp
2.28,1,1,1.0,0.79,0,0.18,1,0.79,0.0,0.79,0,0.0,1,1.0,0.74
1.46,1,1,0.68,1.0,0,0.01,1,1.0,0.33,0.66,0,0.33,1,0.68,0.69
1.0,1,1,0.0,1.0,0,0.04,1,1.0,1.0,0.04,0,1.0,1,0.0,0.86
1.79,1,1,0.2,0.04,0,1.0,1,0.04,0.82,0.75,0,0.82,1,0.2,0.76
1.8,1,1,0.0,0.14,0,0.9,1,0.14,1.0,0.9,0,1.0,1,0.0,0.81
1.0,1,1,0.01,1.0,0,0.01,1,1.0,1.0,0.01,0,1.0,1,0.01,0.87
1.18,1,1,0.42,1.0,0,0.04,1,1.0,0.59,0.38,0,0.59,1,0.42,0.69
2.0,1,1,1.0,1.0,0,0.01,1,1.0,0.04,1.0,0,0.04,1,1.0,0.76
1.68,1,1,0.09,0.33,0,0.69,1,0.33,1.0,0.57,0,1.0,1,0.09,0.72
